PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-07-05,13:26:13.46,1,1,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.27379,-2.689409,-2.391488,1983.131447,207.044347,1:00,5.93642,1.3948,5.94131,-19.81241,19.1504,9.04729,1.78672,-0.07087,77.0431,-6.465265,-0.767294,0.449259,,,,,,,,,,,,-5.37197,11.07347,-1.20915,50,5.71082,4.78453,-123.47687,-6.34985,-8.17908,27.75597,-15.31424,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,3006ae70-1b72-11ee-826f-79ff3899aa0b,83.89917,,,8.23069,,,,,,,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:26:13.46,2023-07-05T13:26:13.4636388-07:00,2023-07-05T20:26:13.4636388Z,,v3,,,,,,Undefined,HUN_BEA,519663af-ff01-44b9-9019-5627fd7ea323,54.55216,-124.49593,13.87799,5.93364,-5.78759,-7.65712,-1.39032,5.08483,-4.08954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-07-05,13:26:27.27,1,2,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.43299,1.216973,-0.590303,2244.297752,140.220191,10:45,5.90074,1.42815,5.28067,-42.22046,4.99481,-2.73059,3.52548,0.64621,70.73351,-6.55079,-1.075011,0.494553,,,,,,,,,,,,1.16252,2.63591,-1.37228,50,5.98136,1.28305,-113.60148,0.98493,1.49437,23.97875,-28.78568,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,383da5d0-1b72-11ee-826f-79ff3899aa0b,76.2152,,,7.69948,,,,,,,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:26:27.27,2023-07-05T13:26:27.2736612-07:00,2023-07-05T20:26:27.2736612Z,,v3,,,,,,Undefined,HUN_BEA,b122a70d-b675-49ba-a77b-558aad0950d6,55.2123,-114.6964,11.98938,5.90637,2.29935,-14.39284,-1.42931,1.21482,0.74718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-07-05,13:26:39.87,1,3,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,1,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.69056,-1.52669,-1.088923,2228.988845,139.396835,10:45,5.94128,1.49953,5.24828,-42.40144,5.52134,-3.30953,0.97262,0.20036,70.92646,-9.253324,-1.677288,0.498244,,,,,,,,,,,,1.32492,3.70429,-1.39704,50,5.76991,2.27054,-112.59653,-4.41947,1.6821,22.55629,-27.47118,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,3fc76d40-1b72-11ee-826f-79ff3899aa0b,75.6505,,,6.7641,,,,,,,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:26:39.87,2023-07-05T13:26:39.8741860-07:00,2023-07-05T20:26:39.8741860Z,,v3,,,,,,Undefined,HUN_BEA,f2e071ea-7f16-43c0-a2df-6c26356a91c5,55.24762,-113.64292,11.27815,5.94537,-3.14508,-13.73559,-1.50056,2.1925,0.84105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-07-05,13:26:53.30,1,4,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.42522,-3.384571,-2.045507,2219.211975,216.449178,1:15,6.01319,1.42626,5.5638,-19.90572,19.45344,13.30764,1.18689,0.62355,77.33824,-7.141837,0.328255,0.451538,,,,,,,,,,,,-7.38229,11.32197,-1.25883,50,5.70816,3.8528,-123.6155,-7.91038,-11.28023,27.51355,-14.8739,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,47be2750-1b72-11ee-826f-79ff3899aa0b,83.4757,,,8.08698,,,,,,,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:26:53.30,2023-07-05T13:26:53.3003620-07:00,2023-07-05T20:26:53.3003620Z,,v3,,,,,,Undefined,HUN_BEA,a1b1e8a7-0e75-47ec-82a8-e1b011c8fb14,54.93148,-124.70829,13.75677,6.01062,-7.31962,-7.43695,-1.42075,4.30083,-5.64012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-07-05,13:27:07.08,1,5,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,2,2,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,85.62863,-2.650647,-1.233955,2077.892061,204.33329,12:45,5.93945,1.41119,5.72446,-18.66556,20.32761,8.53642,1.91291,0.97311,77.19952,-6.212978,0.293602,0.449434,64.79372,38.837933,147.064815,3785.662254,,,,,28.83878,,,-4.77355,11.64556,-1.3137,50,5.70705,2.31999,-124.03212,-6.27189,-7.31139,28.69097,-14.33714,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,4ffa00b0-1b72-11ee-826f-79ff3899aa0b,83.8665,23.89226,,8.42911,,,,3.07171,2.05386,-1.01273,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:27:07.08,2023-07-05T13:27:07.0892388-07:00,2023-07-05T20:27:07.0892388Z,,v3,,,,,,Undefined,HUN_BEA,6ca9570f-493f-4892-9cf3-2388e8189abe,54.77086,-125.13084,14.34549,5.93672,-5.72285,-7.16857,-1.4079,2.59998,-3.6557,310.564083,3.07538,-62.23702,1.93529,,,,,,,2.06591,59.23644,-23.978,,,,,,,-1.00205,39.92611,-9.22933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2023-07-05,13:27:29.88,1,6,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,2,2,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,78.05223,0.449519,-0.352993,2216.142086,132.126163,10:30,5.97912,1.35075,5.16499,-43.93829,3.60232,-2.1813,2.74067,0.83676,71.01391,-7.574873,-0.739727,0.496254,81.39199,-0.952389,53.711635,3244.624906,,,,41.77301,41.77301,52.190211,0.368833,0.98189,2.1139,-1.31609,50,5.98756,0.78504,-113.17309,-0.61694,1.26067,22.59485,-29.46002,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,5d91ec10-1b72-11ee-826f-79ff3899aa0b,75.95398,2.77216,,7.03832,,,,1.82197,2.77216,-0.90084,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:27:29.88,2023-07-05T13:27:29.8867556-07:00,2023-07-05T20:27:29.8867556Z,GroundBall,v3,,,,,,Undefined,HUN_BEA,3db4cdac-4924-4e77-95ac-83fe76423ba8,55.33107,-114.23247,11.29742,5.98411,0.76433,-14.73001,-1.35152,0.72593,0.63033,270.105901,1.83081,70.32053,-15.93042,,,,,,,2.77552,-2.10583,-14.71838,,,,,,,-0.89673,96.05954,-11.2793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2023-07-05,13:27:59.91,1,7,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,2,2,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.696,-1.329736,-1.196983,2133.029106,189.128151,12:15,5.98141,1.41632,5.78431,-19.89513,18.23627,2.69374,3.0859,0.52705,77.60971,-5.135171,-0.714521,0.44444,74.33839,44.714402,156.383317,3045.925763,,,,,20.19966,,,-1.79185,10.17922,-1.31935,50,5.86029,2.51122,-125.59567,-3.49223,-2.79591,30.92443,-16.29098,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,6f6c3c10-1b72-11ee-826f-79ff3899aa0b,84.80891,24.03572,,9.0863,,,,2.95508,3.19201,-0.54717,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:27:59.91,2023-07-05T13:27:59.9161188-07:00,2023-07-05T20:27:59.9161188Z,,v3,,,,,,Undefined,HUN_BEA,a38c3c1b-0c3d-4521-92ff-6adc9f7e6c48,54.70949,-126.74995,15.46222,5.97928,-2.88416,-8.14549,-1.41503,2.61558,-1.39796,324.402172,2.95552,-71.00949,3.74295,,,,,,,3.19736,76.47726,-27.66146,,,,,,,-0.5443,30.91422,-7.45167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2023-07-05,13:28:16.46,1,8,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 10, Extra",1000115169,Right,TRA_HIG,Undefined,1,Top,0,2,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.71564,-0.944295,-1.053937,2050.980738,206.007129,12:45,5.952,1.4279,5.6914,-19.29544,19.20859,8.74134,3.46379,1.17402,77.90254,-4.606958,0.509015,0.446606,,,,,,,,,,,,-4.72866,10.40453,-1.3448,50,5.86079,1.91787,-124.37426,-2.61236,-7.36653,26.21588,-15.96538,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,79577320-1b72-11ee-826f-79ff3899aa0b,84.39749,,,7.8131,,,,,,,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:28:16.46,2023-07-05T13:28:16.4620000-07:00,2023-07-05T20:28:16.4620000Z,,v3,,,,,,Undefined,HUN_BEA,bd13ab85-17ff-417d-8453-3697ad02cf63,54.80308,-125.38258,13.10794,5.94946,-1.99829,-7.98269,-1.42402,2.2012,-3.68327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13382,,,0.844238,,,,6.09103,5.17983,2.03015,76.25236,9.64497,-48.51543,6.18338,87.89992,-5.77053,5.27428,17.68056,-14.77267,1.93563,-64.21221,5.23629,High,High,High,,,High,Medium,High
9,2023-07-05,13:28:46.09,2,1,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 1, Extra",1000115160,Right,TRA_HIG,Undefined,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.78038,-1.799398,-1.587486,2147.864036,124.381466,10:15,5.86319,1.25296,5.37635,-40.14691,6.02138,-6.5776,0.82957,-0.78374,72.30061,-9.116377,-2.758423,0.489039,,,,,,,,,,,,2.84295,4.01264,-1.10602,50,5.67381,3.42548,-114.22279,-4.92822,3.73535,22.11538,-26.90188,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,8b02eaf0-1b72-11ee-826f-79ff3899aa0b,77.07453,,,6.47976,,,,,,,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:28:46.09,2023-07-05T13:28:46.0919652-07:00,2023-07-05T20:28:46.0919652Z,,v3,,,,,,Undefined,HUN_BEA,8434dbd6-4aea-4bf6-a850-cdafce931687,55.11978,-115.2098,11.05769,5.86696,-3.72759,-13.45094,-1.25518,3.25877,1.86768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-07-05,13:28:59.28,2,2,"Frohn, Jake",1000223083,Right,HUN_BEA,"Player 1, Extra",1000115160,Right,TRA_HIG,Undefined,1,Top,1,1,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,84.34063,-2.484833,-1.087901,2011.091567,196.456818,12:30,5.99823,1.31883,5.9357,-20.51761,19.09123,5.22874,1.98142,0.74521,76.55875,-6.380119,-0.14837,0.452968,88.33683,8.686335,-39.721792,3058.106851,,,,121.40281,121.40281,-42.286845,1.030222,-3.05402,11.00607,-1.23516,50,5.7886,2.12115,-122.32509,-5.88673,-4.57675,26.59669,-15.68025,HUN_BEA,TRA_HIG,Huntington Beach HS,TeamExclusive,Team,20230705-Huntington Beach HS-Private-1,92d701d0-1b72-11ee-826f-79ff3899aa0b,83.21212,6.54034,,7.78188,,,,4.24312,2.26954,-0.6857,33025f6b-dd3f-4c61-9b00-26894243283a,2023-07-05,20:28:59.28,2023-07-05T13:28:59.2835940-07:00,2023-07-05T20:28:59.2835940Z,LineDrive,v3,,,,,,Undefined,HUN_BEA,6767806b-ba67-4641-9395-534be43e0bba,54.56136,-123.31286,13.29834,5.99641,-5.30438,-7.84013,-1.31709,2.29113,-2.28838,70.782936,4.24312,98.50926,-17.37622,2.83909,-0.61667,0.12054,-0.02489,0.00464,-0.00049,2.26954,19.56688,-23.54683,2.86596,-0.62941,0.14547,-0.03006,0.00573,-0.00067,-0.6857,-81.84728,2.94313,0.26281,-0.11399,0.0422,-0.01042,0.00222,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
